token,label,
Cell-Site Simulator to Identify the Cellular Device Used by Unknown Person(s),phone records,
Information associated with a cellular telephone number 901-402-4334 that is stored at premises controlled by Bandwidth.com,phone records,
to Use of a Cell-Site Simulator to Locate the Cellular Device Assigned Call Number XXX-XXX-5708,phone records,
"(Collectively, the Subject Telephones)",phone,
"(Collectively, the Subject Telephones)",phone,
209-361-1453,phone,
4 CELLULAR TELEPHONES SEIZED FROM THE FDC IN PHILADELPHIA AND CURRENTLY HELD BY THE FBI PHILADELPHIA DIVISION,phone,
4 CELLULAR TELEPHONES SEIZED FROM THE FDC IN PHILADELPHIA AND CURRENTLY HELD BY THE FBI PHILADELPHIA DIVISION Re:,phone,
702-517-7282,phone,
916-212-5752,phone,
916-604-1056,phone,
"A Black Alcatel Model A405DL, currently in the custody of the Henrico County Police at 7721 E. Parham Road, Henrico, VA",phone,
"A Black Alcatel Model A405DL, currently in the custody of the Henrico County Police at 7721 E. Parham Road, Henrico, VA (",phone,
A Black and Gray Kyocera Cellular Phone Moden #C6730 (Device 2),phone,
A Black and Gray Kyocera Cellular Phone Moden #C6730 (Device 2),phone,
A black Apple iPhone,phone,
A Black Apple iPhone 11,phone,
A Black Apple iPhone 11,phone,
A Black Apple iPhone 11 ;,phone,
"A black Apple iPhone,",phone,
A Black Galaxy Note 9 SM-960,phone,
A BLACK IPHONE CURRENTLY IN THE POSSESSION OF THE FEDERAL BUREAU OF INVESTIGATION,phone,
A Black IPhone with a Red Case (Device 1),phone,
A Black IPhone with a Red Case (Device 1),phone,
"A Black IPhone with a Red Case (Device 1), A Black and Gray Kyocera Cellular Phone Moden #C6730 (Device 2), A Blue Samsung Cellular Phone (Device 3), A Whiteish Silver LG Cellular Phone (Device 4), (Collectively, the Subject Telephones)",phone,
A black LG cellular telephone,phone,
A black LG cellular telephone,phone,
A black LG cellular telephone,phone,
A black LG cellular telephone.,phone,
A Black LG Smart Cellular Phone,phone,
"A BLACK SOYES CELL PHONE,",phone,
"A BLACK SOYES CELL PHONE, APPROX",phone,
"A BLACK SOYES CELL PHONE, APPROX. 4"" BY 1"" LOCATED AT PHILADELPHIA FBI, EVIDENCE #1B3 AND A SIM CARD, LOCATED AT PHILADELPHIA FBI",phone,
A blue Motorola cellular telephone,phone,
A blue Motorola cellular telephone,phone,
A Blue Samsung Cellular Phone (Device 3),phone,
A Blue Samsung Cellular Phone (Device 3),phone,
"A cellular telephone, with IMEI Number: 358912105734812",phone,
"A cellular telephone, with IMEI Number: 358912105734812, in custody of Homeland Security Investigations",phone,
"A Dark Blue Motorola Phone, PETS No",phone,
"A Dark Blue Motorola Phone, PETS No.",phone,
"A Dark Blue Motorola Phone, PETS No. 1203550594",phone,
"A Samsung Cellular Telephone Currently Located at Homeland Security Investigations in Burlington, Vermont",phone,
A silver LG cellular telephone in a black case,phone,
A silver LG cellular telephone in a black case,phone,
"A WHITE IPHONE XR, LOCATED AT THE FBI WASHINGTON FIELD OFFICE, 601 4TH ST, NW, WASHINGTON, DC 20535",phone,
A Whiteish Silver LG Cellular Phone (Device 4),phone,
A Whiteish Silver LG Cellular Phone (Device 4),phone,
"AN APPLE IPHONE (IMEI NUMBER 358689096531999), CURRENTLY IN MPD CUSTODY AT 17 DC VILLAGE LANE, S.W. WASHINGTON, D.C. 20032, UNDER RULE 41",phone,
AN IPHONE MODEL A1429 BEARING IMEI 990002832878993,phone,
Apple iPhone,phone,
"Apple iPhone 5S cellular telephone, model number A1453, with serial number 352029066888465, located at 1201 NE Lloyd Blvd, Suite 600, Portland, Oregon",phone,
"Apple iPhone 5S cellular telephone, model number A1453, with serial number 352029066888465, located at 1201 NE Lloyd Blvd, Suite 600, Portland, Oregon",phone,
"Apple iPhone 5S cellular telephone, model number A1453, with serial number 352029066888465, located at 1201 NE Lloyd Blvd, Suite 600, Portland, Oregon",phone,
"Apple iPhone 5S cellular telephone, model number A1453, with serial number 352029066888465, located at 1201 NE Lloyd Blvd, Suite 600, Portland, Oregon,",phone,
Apple iPhone 6s,phone,
"Apple iPhone 6s, GPD WIN2, Asus Laptop, Alienware Laptop, Lenovo Thinkpad X1 Yoga, Origin PC Tower, Universal Serial Bus Flash Drives.(kad",phone,
"Apple iphone 6sPlus, silver in color, model number A1687;",phone,
"Apple iPhone 7, Microsoft Surface Pro4 - APPROVED",phone,
Apple iPhone IMEI 354915090735821,phone,
APPLE IPHONE IMEI 357274096819800,phone,
Apple Iphone IMEI: 35-726009-246190,phone,
Apple iPhone Seized,phone,
Apple iPhone Seized as,phone,
"Apple iPhone Seizure No, 2020250400230301",phone,
"Apple iPhone Seizure No, 2020250400230301",phone,
Apple iPhone Seizure No. 2020250400258201-0005,phone,
Apple iPhone XR IMEI Number 3564231013787010,phone,
"Apple iPhone, which is currently stored at the FBI Montgomery Resident Agency",phone,
Apple iPhones,phone,
Black Apple Iphone 6s,phone,
"black Apple iPhone 7, Model: A1660, FCC ID: BCG-E3085A;",phone,
"Black Apple iPhone IMEl352910110111816 ""Target Device""",phone,
Black Blade ZTE cellular phone,phone,
Black Galaxy S10,phone,
Black i-Phone (MWK02LL/A) Serial #F4HC1W5JN Seizure No. 2020250600074701-003,phone,
Black iPhone Model A1160,phone,
"Black iPhone Model A1660, with SIM Card 8901260071 933363537 4F 085629(bus",phone,
"Black iPhone Model A1660, with SIM Card 8901260071 933363537 4F 085629(bus, Deputy Clerk) (",phone,
Black iPhone Seized as FP&F No 2020250400259801,phone,
Black iPhone Seized as FP&F No.,phone,
Black LG LM-X420MM,phone,
Black LG Seized as FP&F No.,phone,
